Store,Date,Temp,Fuel_Price,CPI,Unemployment,IsHoliday,Status,Customer_Cost
1,2/5/2010,42.31,2.57,211.1,9.11,False,Fullfilled,542.94
1,2/12/2010,38.51,2.55,211.24,9.11,True,Partial,538.25
1,2/19/2010,39.93,2.51,211.29,9.11,False,Pending,531.18
1,2/26/2010,46.63,2.56,211.32,9.11,False,Partial,541.19
1,3/5/2010,46.5,2.62,211.35,9.11,False,Partial,554.79
1,3/12/2010,57.79,2.67,211.38,9.11,False,Pending,563.75
1,3/19/2010,54.58,2.72,211.22,9.11,False,Partial,574.51
1,3/26/2010,51.45,2.73,211.02,9.11,False,Fullfilled,576.5
1,4/2/2010,62.27,2.72,210.82,8.81,False,Fullfilled,573.22
1,4/9/2010,65.86,2.77,210.62,8.81,False,Partial,583.43
1,4/16/2010,66.32,2.81,210.49,8.81,False,Partial,591.05
1,4/23/2010,64.84,2.8,210.44,8.81,False,Partial,588.18
1,4/30/2010,67.41,2.78,210.39,8.81,False,Pending,584.88
1,5/7/2010,72.55,2.84,210.34,8.81,False,Partial,596.31
1,5/14/2010,74.78,2.85,210.34,8.81,False,Fullfilled,600.3
1,5/21/2010,76.44,2.83,210.62,8.81,False,Partial,595.2
1,5/28/2010,80.44,2.76,210.9,8.81,False,Partial,581.86
1,6/4/2010,80.69,2.7,211.18,8.81,False,Pending,571.23
1,6/11/2010,80.43,2.67,211.46,8.81,False,Partial,564.16
1,6/18/2010,84.11,2.64,211.45,8.81,False,Pending,557.6
1,6/25/2010,84.34,2.65,211.34,8.81,False,Fullfilled,560.68
1,7/2/2010,80.91,2.67,211.22,8.79,False,Pending,563.76
1,7/9/2010,80.48,2.64,211.11,8.79,False,Fullfilled,557.75
1,7/16/2010,83.15,2.62,211.1,8.79,False,Partial,553.72
1,7/23/2010,83.36,2.61,211.24,8.79,False,Pending,550.9
1,7/30/2010,81.84,2.64,211.37,8.79,False,Pending,558.02
1,8/6/2010,87.16,2.63,211.5,8.79,False,Partial,555.62
1,8/13/2010,87.0,2.69,211.64,8.79,False,Pending,569.73
1,8/20/2010,86.65,2.66,211.6,8.79,False,Fullfilled,563.71
1,8/27/2010,85.22,2.62,211.57,8.79,False,Pending,554.09
1,9/3/2010,81.21,2.58,211.53,8.79,False,Fullfilled,545.12
1,9/10/2010,78.69,2.56,211.5,8.79,True,Fullfilled,542.49
1,9/17/2010,82.11,2.58,211.52,8.79,False,Fullfilled,546.15
1,9/24/2010,80.94,2.62,211.6,8.79,False,Partial,555.23
1,10/1/2010,71.89,2.6,211.67,8.84,False,Pending,550.98
1,10/8/2010,63.93,2.63,211.75,8.84,False,Partial,557.53
1,10/15/2010,67.18,2.72,211.81,8.84,False,Fullfilled,576.13
1,10/22/2010,69.86,2.72,211.86,8.84,False,Pending,577.32
1,10/29/2010,69.64,2.72,211.91,8.84,False,Partial,575.54
1,11/5/2010,58.74,2.69,211.96,8.84,False,Pending,569.95
1,11/12/2010,59.61,2.73,212.0,8.84,False,Pending,578.35
1,11/19/2010,51.41,2.77,211.89,8.84,False,Partial,587.15
1,11/26/2010,64.52,2.74,211.75,8.84,True,Partial,579.13
1,12/3/2010,49.27,2.71,211.61,8.84,False,Fullfilled,573.03
1,12/10/2010,46.33,2.84,211.47,8.84,False,Pending,601.2
1,12/17/2010,49.84,2.87,211.41,8.84,False,Pending,606.52
1,12/24/2010,52.33,2.89,211.41,8.84,False,Pending,610.12
1,12/31/2010,48.43,2.94,211.4,8.84,True,Pending,622.16
1,1/7/2011,48.27,2.98,211.4,8.74,False,Pending,629.14
1,1/14/2011,35.4,2.98,211.46,8.74,False,Fullfilled,630.78
1,1/21/2011,44.04,3.02,211.83,8.74,False,Fullfilled,638.87
1,1/28/2011,43.83,3.01,212.2,8.74,False,Pending,638.71
1,2/4/2011,42.27,2.99,212.57,8.74,False,Fullfilled,635.36
1,2/11/2011,36.39,3.02,212.94,8.74,True,Fullfilled,643.49
1,2/18/2011,57.36,3.04,213.25,8.74,False,Partial,649.34
1,2/25/2011,62.9,3.06,213.54,8.74,False,Partial,654.49
1,3/4/2011,59.58,3.29,213.82,8.74,False,Fullfilled,703.05
1,3/11/2011,53.56,3.46,214.11,8.74,False,Partial,740.61
1,3/18/2011,62.76,3.49,214.36,8.74,False,Partial,747.7
1,3/25/2011,69.97,3.47,214.6,8.74,False,Partial,745.31
1,4/1/2011,59.17,3.52,214.84,8.68,False,Fullfilled,757.09
1,4/8/2011,67.84,3.62,215.07,8.68,False,Pending,779.0
1,4/15/2011,71.27,3.74,215.29,8.68,False,Pending,805.84
1,4/22/2011,72.99,3.81,215.46,8.68,False,Pending,820.26
1,4/29/2011,72.03,3.81,215.63,8.68,False,Pending,821.54
1,5/6/2011,64.61,3.91,215.8,8.68,False,Partial,842.9
1,5/13/2011,75.64,3.9,215.96,8.68,False,Pending,842.04
1,5/20/2011,67.63,3.91,215.73,8.68,False,Partial,842.87
1,5/27/2011,77.72,3.79,215.5,8.68,False,Fullfilled,815.9
1,6/3/2011,83.0,3.7,215.27,8.68,False,Fullfilled,796.3
1,6/10/2011,83.13,3.65,215.04,8.68,False,Pending,784.48
1,6/17/2011,86.41,3.64,215.0,8.68,False,Pending,781.95
1,6/24/2011,83.58,3.59,215.09,8.68,False,Partial,773.04
1,7/1/2011,85.55,3.52,215.18,8.96,False,Fullfilled,758.31
1,7/8/2011,85.83,3.48,215.28,8.96,False,Partial,749.16
1,7/15/2011,88.54,3.58,215.36,8.96,False,Fullfilled,769.92
1,7/22/2011,85.77,3.65,215.42,8.96,False,Fullfilled,786.51
1,7/29/2011,86.83,3.68,215.48,8.96,False,Pending,793.41
1,8/5/2011,91.65,3.68,215.54,8.96,False,Partial,794.07
1,8/12/2011,90.76,3.64,215.61,8.96,False,Pending,784.37
1,8/19/2011,89.94,3.55,215.67,8.96,False,Partial,766.49
1,8/26/2011,87.96,3.52,215.73,8.96,False,Pending,760.03
1,9/2/2011,87.83,3.53,215.8,8.96,False,Fullfilled,762.41
1,9/9/2011,76.0,3.55,215.86,8.96,True,Pending,765.44
1,9/16/2011,79.94,3.53,216.04,8.96,False,Fullfilled,761.76
1,9/23/2011,75.8,3.47,216.38,8.96,False,Pending,750.17
1,9/30/2011,79.69,3.36,216.71,8.96,False,Pending,727.06
1,10/7/2011,69.31,3.28,217.05,8.87,False,Fullfilled,712.99
1,10/14/2011,71.74,3.27,217.36,8.87,False,Partial,711.62
1,10/21/2011,63.71,3.35,217.52,8.87,False,Partial,729.33
1,10/28/2011,66.57,3.37,217.68,8.87,False,Fullfilled,734.01
1,11/4/2011,54.98,3.33,217.84,8.87,False,Fullfilled,725.83
1,11/11/2011,59.11,3.3,218.0,8.87,False,Pending,718.74
1,11/18/2011,62.25,3.31,218.22,8.87,False,Pending,721.87
1,11/25/2011,60.14,3.24,218.47,8.87,True,Partial,706.96
1,12/2/2011,48.91,3.17,218.71,8.87,False,Partial,693.76
1,12/9/2011,43.93,3.16,218.96,8.87,False,Fullfilled,691.48
1,12/16/2011,51.63,3.16,219.18,8.87,False,Partial,692.39
1,12/23/2011,47.96,3.11,219.36,8.87,False,Partial,682.64
1,12/30/2011,44.55,3.13,219.54,8.87,True,Fullfilled,686.93
1,1/6/2012,49.01,3.16,219.71,8.35,False,Partial,693.64
1,1/13/2012,48.53,3.26,219.89,8.35,False,Fullfilled,717.07
1,1/20/2012,54.11,3.27,219.99,8.35,False,Pending,718.91
1,1/27/2012,54.26,3.29,220.08,8.35,False,Fullfilled,724.06
1,2/3/2012,56.55,3.36,220.17,8.35,False,Pending,739.78
1,2/10/2012,48.02,3.41,220.27,8.35,True,Partial,750.88
1,2/17/2012,45.32,3.51,220.43,8.35,False,Pending,773.69
1,2/24/2012,57.25,3.56,220.64,8.35,False,Fullfilled,784.36
1,3/2/2012,60.96,3.63,220.85,8.35,False,Partial,801.68
1,3/9/2012,58.76,3.67,221.06,8.35,False,Pending,811.07
1,3/16/2012,64.74,3.73,221.21,8.35,False,Pending,826.0
1,3/23/2012,65.93,3.79,221.29,8.35,False,Pending,838.01
1,3/30/2012,67.61,3.84,221.36,8.35,False,Pending,851.13
1,4/6/2012,70.43,3.89,221.44,8.14,False,Pending,861.61
1,4/13/2012,69.07,3.89,221.51,8.14,False,Pending,861.9
