Store,Temp,Fuel_Price,CPI,Unemployment,IsHoliday,Year,Month,Type,Area
1,MILD,2.572,211.0963582,8.106,False,2010,2,a,151315
1,MILD,2.548,211.2421698,8.106,True,2010,2,a,151315
1,MILD,2.514,211.2891429,8.106,False,2010,2,a,151315
1,MILD,2.561,211.3196429,8.106,False,2010,2,a,151315
1,MILD,2.625,211.3501429,8.106,False,2010,3,a,151315
1,WARM,2.667,211.3806429,8.106,False,2010,3,a,151315
1,WARM,2.72,211.215635,8.106,False,2010,3,a,151315
1,WARM,2.732,211.0180424,8.106,False,2010,3,a,151315
1,WARM,2.719,210.8204499,7.808,False,2010,4,a,151315
1,WARM,2.77,210.6228574,7.808,False,2010,4,a,151315
1,WARM,2.808,210.4887,7.808,False,2010,4,a,151315
1,WARM,2.795,210.4391228,7.808,False,2010,4,a,151315
1,WARM,2.78,210.3895456,7.808,False,2010,4,a,151315
1,WARM,2.835,210.3399684,7.808,False,2010,5,a,151315
1,WARM,2.854,210.3374261,7.808,False,2010,5,a,151315
1,WARM,2.826,210.6170934,7.808,False,2010,5,a,151315
1,HOT,2.759,210.8967606,7.808,False,2010,5,a,151315
1,HOT,2.705,211.1764278,7.808,False,2010,6,a,151315
1,HOT,2.668,211.4560951,7.808,False,2010,6,a,151315
1,HOT,2.637,211.4537719,7.808,False,2010,6,a,151315
1,HOT,2.653,211.3386526,7.808,False,2010,6,a,151315
1,HOT,2.669,211.2235333,7.787,False,2010,7,a,151315
1,HOT,2.642,211.108414,7.787,False,2010,7,a,151315
1,HOT,2.623,211.1003854,7.787,False,2010,7,a,151315
1,HOT,2.608,211.2351443,7.787,False,2010,7,a,151315
1,HOT,2.64,211.3699032,7.787,False,2010,7,a,151315
1,HOT,2.627,211.5046621,7.787,False,2010,8,a,151315
1,HOT,2.692,211.6394211,7.787,False,2010,8,a,151315
1,HOT,2.664,211.6033633,7.787,False,2010,8,a,151315
1,HOT,2.619,211.5673056,7.787,False,2010,8,a,151315
1,HOT,2.577,211.5312479,7.787,False,2010,9,a,151315
1,WARM,2.565,211.4951902,7.787,True,2010,9,a,151315
1,HOT,2.582,211.5224596,7.787,False,2010,9,a,151315
1,HOT,2.624,211.5972246,7.787,False,2010,9,a,151315
1,WARM,2.603,211.6719895,7.838,False,2010,10,a,151315
1,WARM,2.633,211.7467544,7.838,False,2010,10,a,151315
1,WARM,2.72,211.8137436,7.838,False,2010,10,a,151315
1,WARM,2.725,211.8612937,7.838,False,2010,10,a,151315
1,WARM,2.716,211.9088438,7.838,False,2010,10,a,151315
1,WARM,2.689,211.9563939,7.838,False,2010,11,a,151315
1,WARM,2.728,212.003944,7.838,False,2010,11,a,151315
1,WARM,2.771,211.8896737,7.838,False,2010,11,a,151315
1,WARM,2.735,211.7484333,7.838,True,2010,11,a,151315
1,MILD,2.708,211.607193,7.838,False,2010,12,a,151315
1,MILD,2.843,211.4659526,7.838,False,2010,12,a,151315
1,MILD,2.869,211.4053124,7.838,False,2010,12,a,151315
1,WARM,2.886,211.4051222,7.838,False,2010,12,a,151315
1,MILD,2.943,211.4049321,7.838,True,2010,12,a,151315
1,MILD,2.976,211.4047419,7.742,False,2011,1,a,151315
1,MILD,2.983,211.4574109,7.742,False,2011,1,a,151315
1,MILD,3.016,211.8272343,7.742,False,2011,1,a,151315
1,MILD,3.01,212.1970577,7.742,False,2011,1,a,151315
1,MILD,2.989,212.5668812,7.742,False,2011,2,a,151315
1,MILD,3.022,212.9367046,7.742,True,2011,2,a,151315
1,WARM,3.045,213.2478853,7.742,False,2011,2,a,151315
1,WARM,3.065,213.535609,7.742,False,2011,2,a,151315
1,WARM,3.288,213.8233327,7.742,False,2011,3,a,151315
1,WARM,3.459,214.1110564,7.742,False,2011,3,a,151315
1,WARM,3.488,214.3627114,7.742,False,2011,3,a,151315
1,WARM,3.473,214.5999389,7.742,False,2011,3,a,151315
1,WARM,3.524,214.8371664,7.682,False,2011,4,a,151315
1,WARM,3.622,215.0743939,7.682,False,2011,4,a,151315
1,WARM,3.743,215.2918561,7.682,False,2011,4,a,151315
1,WARM,3.807,215.4599053,7.682,False,2011,4,a,151315
1,WARM,3.81,215.6279544,7.682,False,2011,4,a,151315
1,WARM,3.906,215.7960035,7.682,False,2011,5,a,151315
1,WARM,3.899,215.9640526,7.682,False,2011,5,a,151315
1,WARM,3.907,215.7339202,7.682,False,2011,5,a,151315
1,WARM,3.786,215.5037878,7.682,False,2011,5,a,151315
1,HOT,3.699,215.2736553,7.682,False,2011,6,a,151315
1,HOT,3.648,215.0435229,7.682,False,2011,6,a,151315
1,HOT,3.637,214.9980596,7.682,False,2011,6,a,151315
1,HOT,3.594,215.0910982,7.682,False,2011,6,a,151315
1,HOT,3.524,215.1841368,7.962,False,2011,7,a,151315
1,HOT,3.48,215.2771754,7.962,False,2011,7,a,151315
1,HOT,3.575,215.3611087,7.962,False,2011,7,a,151315
1,HOT,3.651,215.4222784,7.962,False,2011,7,a,151315
1,HOT,3.682,215.4834482,7.962,False,2011,7,a,151315
1,HOT,3.684,215.544618,7.962,False,2011,8,a,151315
1,HOT,3.638,215.6057878,7.962,False,2011,8,a,151315
1,HOT,3.554,215.6693107,7.962,False,2011,8,a,151315
1,HOT,3.523,215.7332258,7.962,False,2011,8,a,151315
1,HOT,3.533,215.7971409,7.962,False,2011,9,a,151315
1,WARM,3.546,215.861056,7.962,True,2011,9,a,151315
1,WARM,3.526,216.0410526,7.962,False,2011,9,a,151315
1,WARM,3.467,216.3758246,7.962,False,2011,9,a,151315
1,WARM,3.355,216.7105965,7.962,False,2011,9,a,151315
1,WARM,3.285,217.0453684,7.866,False,2011,10,a,151315
